pick_id,source_id,network,station,location,channel,timestamp,year,month,day,doy,hour,minute,second,microsecond,phase,evaluation_mode,onset,polarity,uncertainty,backazimuth,contributor
1893937,uw61815141,PB,B204,--,EH1,1644113700.090000,2022,2,6,37,2,15,0,90000,P,manual,im,un,0.060,351.204,UW
1893938,uw61815141,PB,B204,--,EH2,1644113701.210000,2022,2,6,37,2,15,1,210000,S,manual,em,un,0.150,351.204,UW
1893739,uw61815151,PB,B204,--,EHZ,1644114689.320000,2022,2,6,37,2,31,29,320000,P,manual,em,un,0.150,288.049,UW
1893740,uw61815151,PB,B204,--,EH1,1644114694.430000,2022,2,6,37,2,31,34,430000,S,manual,im,un,0.060,288.049,UW
1893332,uw61815161,PB,B204,--,EH1,1644128755.090000,2022,2,6,37,6,25,55,90000,S,manual,im,un,0.060,288.606,UW
1893499,uw61815186,PB,B204,--,EHZ,1644138237.250000,2022,2,6,37,9,3,57,250000,P,manual,im,po,0.060,288.689,UW
1893500,uw61815186,PB,B204,--,EH2,1644138242.410000,2022,2,6,37,9,4,2,410000,S,manual,em,un,0.150,288.689,UW
1893885,uw61815191,PB,B204,--,EHZ,1644140219.770000,2022,2,6,37,9,36,59,770000,P,manual,em,un,0.150,288.681,UW
1893886,uw61815191,PB,B204,--,EH2,1644140224.950000,2022,2,6,37,9,37,4,950000,S,manual,im,un,0.060,288.681,UW
1893633,uw61815216,PB,B204,--,EHZ,1644157308.600000,2022,2,6,37,14,21,48,600000,P,manual,im,po,0.030,349.693,UW
1893634,uw61815216,PB,B204,--,EH2,1644157309.780000,2022,2,6,37,14,21,49,780000,S,manual,im,un,0.060,349.693,UW
1893203,uw61815221,PB,B204,--,EHZ,1644159622.060000,2022,2,6,37,15,0,22,60000,P,manual,im,po,0.060,351.661,UW
1893204,uw61815221,PB,B204,--,EH2,1644159623.230000,2022,2,6,37,15,0,23,230000,S,manual,im,un,0.060,351.661,UW
1893390,uw61815251,PB,B204,--,EHZ,1644174642.520000,2022,2,6,37,19,10,42,520000,P,manual,im,po,0.060,348.003,UW
1887956,uw61815256,PB,B204,--,EHZ,1644174845.570000,2022,2,6,37,19,14,5,570000,P,manual,em,un,0.150,351.864,UW
1887957,uw61815256,PB,B204,--,EH2,1644174846.510000,2022,2,6,37,19,14,6,510000,S,manual,im,un,0.060,351.864,UW
